id,kaz_text,kaz_url,kaz_domain,kaz_topic,kaz_has_image,kaz_has_hyperlink,kaz_split,rus_text,rus_url,rus_domain,rus_topic,rus_has_image,rus_has_hyperlink,rus_split,eng_text,eng_url,eng_domain,eng_topic,eng_has_image,eng_has_hyperlink,eng_split,cmn_text,cmn_url,cmn_domain,cmn_topic,cmn_has_image,cmn_has_hyperlink,cmn_split
377,"Біз күнге қараған кезде көретін сыртқы бөлік фотосфера деп аталады, бұл «жарық добы» дегенді білдіреді.",https://en.wikibooks.org/wiki/Wikijunior:Solar_System/The_Sun,wikibooks,"solar system, sun",yes,no,dev,"Внешняя часть, которую мы видим, когда смотрим на Солнце, называется фотосферой, что означает ""шар света"".",https://en.wikibooks.org/wiki/Wikijunior:Solar_System/The_Sun,wikibooks,"solar system, sun",yes,no,dev,"The outer-part we see when we look at the Sun is called the photosphere, which means ""ball of light"".",https://en.wikibooks.org/wiki/Wikijunior:Solar_System/The_Sun,wikibooks,"solar system, sun",yes,no,dev,我们看到的太阳外部称作光球层，意即“光之球”。,https://en.wikibooks.org/wiki/Wikijunior:Solar_System/The_Sun,wikibooks,"solar system, sun",yes,no,dev
378,"Шамамен үш мың жылдан кейін, 1610 жылы итальяндық астроном Галилео Галилей телескопты пайдаланып, Венерада дәл айда сияқты фазалар бар екенін бақылады.",https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev,"Около 3000 лет спустя, в 1610 году, итальянский астроном Галилео Галилей при помощи телескопа обнаружил, что Венера, как и Луна, имеет фазы.",https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev,"About three thousand years later, in 1610, Italian astronomer Galileo Galilei used a telescope to observe that Venus has phases, just as the moon does.",https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev,约三千年后，也就是在1610年，意大利的天文学家伽利略·伽利莱（Galileo Galilei）使用望远镜观测天体，发现金星具有着与月球一致的相位。,https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev
379,Фазалар Венераның (немесе Айдың) тек бір тарапы Күнге қарайтын болғандықтан орын алады. Венера фазалары планеталардың Күнді айналып өтуі туралы Коперник теориясын қолдады.,https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev,"Фазы сменяются потому, что освещается только сторона Венеры (или Луны), обращённая к Солнцу. Фазы Венеры подтвердили теорию Коперника о том, что планеты вращаются вокруг Солнца.",https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev,Phases happen because only the side of Venus (or of the Moon) facing the Sun is lighted. The phases of Venus supported the theory of Copernicus that the planets go around the Sun.,https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev,相变的发生是因为金星（或月球）只有面向太阳的一边被照到。金星的相变支持了哥白尼的理论，即行星围绕太阳旋转。,https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev
380,"Содан соң, бірнеше жылдан кейін 1639 жылы Йеремия Хоррокс атты ағылшын астрономы Шолпанның күн дискі арқылы өтуін бақылады.",https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev,Английский астроном Джеремайя Хоррокс (Jeremiah Horrocks) наблюдал прохождение Венеры через несколько лет (а именно в 1639 году).,https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev,"Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.",https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev,然后，几年后的 1639 年，一位名叫耶利米·霍罗克斯 (Jeremiah Horrocks) 的英国天文学家观测到了一次金星凌日。,https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Venus,wikibooks,"solar system, venus",yes,no,dev
381,Англия Данелавты қайта жаулап алғаннан кейін бейбітшіліктің ұзақ кезеңін бастан өткерді.,https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,После отвоевания Денло в Англии надолго установился мир.,https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,England had experienced a long period of peace after the reconquest of the Danelaw.,https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,重新征服丹麦法区域 (Danelaw) 后，英格兰经历了很长的和平时期。,https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev
382,"Дегенмен, 991 жылы Этельред бір ғасыр бұрынғы Гутрумнан бергіден үлкенірек викингтер флотына кездесті.",https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,"Однако в 991 году Этельред столкнулся с флотом викингов, который был больше, чем любой другой времён Гутрума веком ранее.",https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.,https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,然而，在 991 年，埃塞尔雷德面对的是一个世纪前的古斯鲁姆舰队之后最大的维京舰队。,https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev
383,"Бұл флотты норвегиялық Олаф Тригвассон басқарды, оның мақсаты өз елін Данияның үстемдігінен қайтарып алу болды.",https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,"Этот флот возглавлял Олав Трюггвасон, норвежец, намеренный вернуть свою страну из-под датского господства.",https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,"This fleet was led by Olaf Trygvasson, a Norwegian with ambitions to reclaim his country from Danish domination.",https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,这支舰队由奥拉夫·特里格瓦松率领。他是挪威人，志在将挪威从丹麦手中夺回来。,https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev
384,Бастапқы әскери сәтсіздіктерден кейін Этельред Норвегияға корольдығын жаулап алуға (сәттіліктері мен сәтсіздіктері аралас) оралған Олафпен келісімге келе алды.,https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,"После первоначальных военных неудач Этельред смог договориться об условиях с Олафом, который вернулся в Норвегию, чтобы с переменным успехом пытаться завоевать свое королевство.",https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,"After initial military setbacks, Ethelred was able to agree to terms with Olaf, who returned to Norway to try to gain his kingdom with mixed success.",https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev,在初期军事失利之后，埃塞尔雷德终于与奥拉夫达成协议，奥拉夫重返挪威试图夺回王位，但算不上成功。,https://en.wikibooks.org/wiki/Wikijunior:Kings_and_Queens_of_England/The_Anglo-Saxons,wikibooks,Kings_and_Queens_of_England/The_Anglo-Saxons,yes,no,dev
385,"Хангыл күнделікті көп пайдаланылатын, мақсатты түрде ойлап шығарылған жалғыз әліпби болып табылады Бұл әліпби 1444 жылы, Седжон патшаның (1418 – 1450) билігі кезінде ойлап шығарылған.",https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev,"Хангыль — единственный специально изобретённый алфавит, широко использующийся в повседневной жизни. Это алфавит был изобретён в 1444 году во время правления вана Сечжона (1418-1450).",https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev,Hangeul is the only purposely invented alphabet in popular daily use. The alphabet was invented in 1444 during the reign of King Sejong (1418 – 1450).,https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev,韩文字母是唯一一个特意发明供日常使用的字母表，是于 1444 年世宗皇帝（1418 - 1450）统治时期所发明的。,https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev
386,Король Седжон Чосон династиясынан төртінші король және ең құрметтелгені болған.,https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev,Король Седжон был четвёртым королем из династии Чосон и одним из наиболее уважаемых.,https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev,King Sejong was the fourth king of the Joseon Dynasty and is one of the most highly regarded.,https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev,世宗大王为朝鲜王朝的第四任君主，也是最受推崇的君主之一。,https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev
387,"Басында ол Хангыль әліпбиін Хунмин Чоным деп атады, бұл «адамдарды оқытуға арналған дұрыс дыбыстар» дегенді білдіреді.",https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev,"Первоначально он назвал алфавит хангыль ""Хунмин Чоным"", что означает ""правильные звуки для наставления людей"".",https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev,"He originally named the Hangeul alphabet Hunmin Jeongeum, which means ""the correct sounds for the instruction of the people"".",https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev,他最初将韩语字母发音表命名为“训民正音”，意思是“用于教导人民的正确发音”。,https://en.wikibooks.org/wiki/Wikijunior:Languages/Korean,wikibooks,Languages/Korean,yes,no,dev
388,Санскрит тілінің қалай пайда болғаны туралы көп теориялар бар. Олардың біреуіне сай батыстан Үндістанға көшкен арийлер тілін өздерімен бірге әкелген.,https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,"Существует множество теорий насчет того, как возник санскрит. Согласно одной из них, арии, переселившиеся в Индию с запада, принесли с собой свой язык.",https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,There are many theories to how Sanskrit came into existence. One of them is about an Aryan migration from the west into India who brought their language with them.,https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,关于梵语的起源有很多说法。其中之一是雅利安人从西方移民到印度，将自己的语言带到这里。,https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev
389,Санскрит ежелгі тіл саналып және оны Еуропада сөйлейтін латын тілімен салыстыруға келеді.,https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,"Санскрит — это древний язык и его можно сравнить с латинским языком, на котором говорили в Европе.",https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,Sanskrit is an ancient language and is comparable to the Latin language spoken in Europe.,https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,梵语是一种古老的语言，能与欧洲的拉丁语相媲美。,https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev
390,"Әлемдегі ең ескі кітап санскрит тілінде жазылған. Упанишадтар жасалғаннан кейін, санскрит иерархия себебінен жойылып кетті.",https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,Самая ранняя известная человечеству книга была написана на санскрите. После составления Упанишад санскрит просто потерял свою актуальность из-за иерархии.,https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,"The earliest known book in the world was written in Sanskrit. After the compilation of Upanishads, Sanskrit just faded due to hierarchy.",https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,世界上已知最早的书是用梵文写的。《奥义书》编撰完成后，梵文由于等级制度的原因逐渐消失。,https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev
391,"Санскрит - өте құрамалы және бай тіл, латын тілі француз және испан сияқты еуропалық тілдер үшін көптеген заманауи үнді тілдерінің қайнар көзі ретінде қызмет етті.",https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,"Санскрит — очень сложный и богатый язык, который послужил основой для многих современных индийских языков, как и от латинского произошли европейские языки, такие как французский и испанский.",https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,"Sanskrit is a very complex and rich language, which has served to be the source for many modern Indian languages, just like Latin is the source for European languages like French and Spanish.",https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev,梵语是一种博大精深的语言，也是许多现代印度语的起源，就像拉丁语是法语和西班牙语等欧洲语言的起源一样。,https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit,wikibooks,Languages/Sanskrit,no,no,dev
392,"Франция үшін шайқас аяқталғаннан кейін, Германия Британия аралын басып алуға дайындықты бастады.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,После окончания битвы за Францию Германия начала подготовку к наступлению на Великобританию.,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,"With the battle for France over, Germany began to get ready to invade the island of Britain.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,对法作战结束后，德国又开始为入侵不列颠岛做准备。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev
393,"Германия шабуылды «Бозғы операциясы» деген кодпен атады. Британдық әскердің ауыр қару-жарақтары мен жабдықтарының көп бөлігі Дункирктен эвакуацияланған кезде жоғалды, сондықтан әскер айтарлықтай әлсіз еді.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,"Германия дала наступлению кодовое название ""Операция ""Морской лев"""". Британская армия потеряла большинство своих тяжелых вооружений и припасов во время эвакуации из Дюнкерка и была довольно слаба.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,"Germany code-named the attack “Operation Sealion”. Most of the British Army's heavy weapons and supplies had been lost when it evacuated from Dunkirk, so the army was fairly weak.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,德国将此次袭击的代号定为“海狮行动”。英国军队从敦刻尔克撤退时失去了大部分重型武器和补给，元气大伤。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev
394,Бірақ Корольдік әскери-теңіз флоты Германия әскери-теңіз күштеріне («Кригсмарин») қарағанда әлдеқайда күшті болды және ағылшын арнасы арқылы жіберілген кез-келген шабуылдау флотын жойып жіберуі мүмкін еді.,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,"Но Королевский военно-морской флот по-прежнему был значительно сильнее Военно-морских сил Германии (""Кригсмарине"") и мог уничтожить любой флот противника, пересекший Ла-Манш.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,But the Royal Navy was still much stronger than the German Navy (“Kriegsmarine”) and could have destroyed any invasion fleet sent across the English Channel.,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,但皇家海军还是比德国海军（“Kriegsmarine”）强得多，可以摧毁任何跨越英吉利海峡的入侵舰队。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev
395,"Алайда Корольдік әскери-теңіз күштерінің аз ғана кемесі ықтимал басып кіру маршруттарының жанында болды, өйткені адмиралдар неміс әуе шабуылы оларды батырады деп қорықты.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,"Однако совсем немного судов ВМС Великобритании базировались рядом с возможными путями проникновения, так как адмиралы опасались затонуть под атакой германской авиации.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,"However, very few Royal Navy ships were based near the likely invasion routes as the admirals were afraid they would be sunk by German air attack.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev,然而，很少有皇家海军舰艇在潜在的入侵路线附近驻扎，因为海军将领们担心舰艇会被德国的空袭击沉。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain,wikibooks,World_War_II/Battle_of_Britain,yes,no,dev
396,Италияның жоспарларын түсіндіруден бастайық. Италия негізінен Германия мен Жапонияның «кіші інісі» болды.,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,"Начнем с разъяснения планов Италии. Италия была по сути ""младшим братом"" Германии и Японии.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,"Let's start with an explanation about Italy's plans. Italy was mainly the ""little brother"" of Germany and Japan.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,让我们先来解释一下意大利的计划。意大利基本上属于德国和日本的“小兄弟”。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev
397,"Соғыс басталғанға дейін төрт жаңа кеме құрастырғанына қарамастан, оның әскері әлсіздеу және флоты әлсіздеу еді.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,"У нее были более слабые армия и флот, хотя прямо перед началом войны там построили четыре новых корабля.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,"It had a weaker army and a weaker navy, although they had just built four new ships right before the beginning of the war.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,该国陆军和海军都比较弱，尽管他们在战争开始前不久建造了四艘新舰船。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev
398,"Италияның негізгі мақсаттары африкалық елдер болған. Бұл елдерді жаулап алу үшін оларға әскери плацдарм қажет болатын еді, осылайша әскерлер Жерорта теңізімен жүзіп өтіп, Африканы жаулап ала алатын еді.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,"Главной целью Италии были африканские государства. Для захвата этих стран нужен был плацдарм для войск, чтобы отряды могли переплыть Средиземное море и атаковать Африку.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,"Italy's main goals were African countries. To capture those countries, they would need to have a troop launching pad, so as troops could sail across the Mediterranean Sea and invade Africa.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,意大利的主要目标是非洲国家。为了夺取这些国家，他们需要一个军队基地，以便军队可以驶穿地中海，入侵非洲。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev
399,"Бұл үшін олардың Мысырдағы британдық базаларды және кемелерді жоюына тура келді. Бұл әрекеттерге қоса, Италияның әскери кемелерінің басқа ештеңе істеуі жоспарланбаған.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,"Для этого им надо было расправиться с британскими базами и кораблями в Египте. Кроме этих действий, линкорам Италии не нужно было делать больше ничего.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,"For that, they had to get rid of British bases and ships in Egypt. Besides those actions, Italy's battleships were not supposed to do anything else.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,为此，他们不得不将英国在埃及的基地和船舰撤出。除了采取这些行动，意大利的战舰本不应该有所行动。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev
400,Енді Жапония жайында. Жапония Ұлыбритания сияқты аралдық ел болды.,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,"Теперь о Японии. Япония была островным государством, так же как и Британия.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,"Now for Japan. Japan was an island country, just like Britain.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev,现在来看日本。和英国一样，日本是一个岛国。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battleships,wikibooks,World_War_II/Battleships,yes,no,dev
401,Субмариналар - бұл су астында жүзетін кемелер және олар ұзақ уақыт су астында қала алады.,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,"Подводные лодки — это суда, предназначенные для передвижения под водой и пребывания там в течение длительного времени.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,"Submarines are ships designed to travel underwater, and remain there for an extended amount of time.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,潜水艇是为了在水底下行驶而设计的船，而且潜水艇在水面下停留的时间较长。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev
402,Сүңгуір қайықтар Бірінші дүниежүзілік соғыста және Екінші дүниежүзілік соғыста пайдаланылған. Ол кезде сүңгуір қайықтар өте бау болған және ату ауқымы өте шектеулі болатын.,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,"Подводные лодки были на вооружении во время Первой мировой войны, а также во время Великой Отечественной войны. В то время они развивали очень низкую скорость и могли стрелять лишь на коротком расстоянии.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,Submarines were used in World War I and World War II. Back then they were very slow and had a very limited shooting range.,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,第一次世界大战和第二次世界大战期间都使用了潜水艇。 那时它们的速度很慢，射击范围也非常有限。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev
403,"Соғыстың басында олар негізінен теңіздің үстінде жүзетін, бірақ радар дами келе және дәлірек бола келе, сүңгуір қайықтар көрінбеу үшін су астына түсуге мәжбүр болды.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,"В начале войны они в основном передвигались по поверхности моря, но когда радары начали совершенствоваться и становились более точными, подводным лодкам пришлось уйти под воду, чтобы их не могли обнаружить.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,"In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,在战争开始时，它们大多在海面上航行，但随着雷达的发展和精确度的提高，潜艇被迫潜入水下以免被发现。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev
404,Неміс сүңгуір қайықтары «U кемелері» деп аталатын. Немістер сүңгуір қайықтар навигациясында және оларды басқаруда өте шебер еді.,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,Немецкие подводные лодки назывались U-Boat. Немцы очень хорошо разбирались в навигации и управлении своими подлодками.,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,German submarines were called U-Boats. The Germans were very good at navigating and operating their submarines.,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,德国潜艇被称为 U 型潜艇。德国人非常擅长导航和操作潜艇。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev
405,"Сүңгуір қайықтар саласындағы табысына байланысты, соғыстан кейін немістерде көп сүңгуір қайық бар екеніне ешкім сенбейді.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,"В связи с успешным опытом применения подводных лодок, после войны немцам не доверяют иметь их в большом количестве.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,"Because of their success with submarines, after the war Germans aren't trusted to have many of them.",https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev,由于德国人在潜艇方面很成功，他们在战后不获托管大量潜艇。,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines,wikibooks,World_War_II/Submarines,yes,no,dev
